"Age","Item","Year","PCN_Code","PCN_Name","Practices_w_denominator","Numerator","Denominator","Practices","Same","Proportion"
"12 months","Rota","2020/21","U96386","Horsham Collaborative PCN",4,340,356,4,"All practices",0.955056179775281
"12 months","Rota","2021/22","U01092","Cissbury Integrated Care PCN",4,383,417,4,"All practices",0.918465227817746
"12 months","Rota","2021/22","U03364","Haywards Heath Villages PCN",4,447,472,4,"All practices",0.947033898305085
"12 months","Rota","2021/22","U04725","Haywards Heath Central PCN",3,302,318,3,"All practices",0.949685534591195
"12 months","Rota","2021/22","U04748","Angmering Coppice Fitzalan (ACF) PCN",2,220,234,2,"All practices",0.94017094017094
"12 months","Rota","2021/22","U06871","Burgess Hill & Villages PCN",5,466,486,5,"All practices",0.958847736625514
"12 months","Rota","2021/22","U08235","Regis Healthcare PCN",9,697,751,9,"All practices",0.928095872170439
"12 months","Rota","2021/22","U13952","Central Worthing Practices PCN",3,381,403,3,"All practices",0.945409429280397
"12 months","Rota","2021/22","U14816","Healthy Crawley PCN",4,467,609,4,"All practices",0.766830870279146
"12 months","Rota","2021/22","U21339","Arun Integrated Care (AIC) PCN",5,499,526,5,"All practices",0.948669201520912
"12 months","Rota","2021/22","U24558","Chichester Alliance of Medical Practices PCN",8,721,752,8,"All practices",0.958776595744681
"12 months","Rota","2021/22","U26939","Horsham Central PCN",4,513,539,4,"All practices",0.951762523191095
"12 months","Rota","2021/22","U33451","South Crawley PCN",4,474,527,4,"All practices",0.899430740037951
"12 months","Rota","2021/22","U33593","Rural North Chichester PCN",4,219,231,4,"All practices",0.948051948051948
"12 months","Rota","2021/22","U37037","Shoreham and Southwick PCN",3,291,307,3,"All practices",0.947882736156352
"12 months","Rota","2021/22","U49536","Coastal and South Downs PCN",2,214,229,3,"This PCN does not include all practices",
"12 months","Rota","2021/22","U52694","Crawley Care Collaborative PCN",4,551,602,4,"All practices",0.915282392026578
"12 months","Rota","2021/22","U57981","Chanctonbury PCN",4,353,374,4,"All practices",0.943850267379679
"12 months","Rota","2021/22","U60757","Bognor Coastal Alliance PCN",3,235,245,3,"All practices",0.959183673469388
"12 months","Rota","2021/22","U80779","East Grinstead PCN",4,344,376,4,"All practices",0.914893617021277
"12 months","Rota","2021/22","U87478","Lancing and Sompting PCN",3,232,248,3,"All practices",0.935483870967742
"12 months","Rota","2021/22","U96386","Horsham Collaborative PCN",4,305,317,4,"All practices",0.962145110410095
"24 months","DTaP/IPV/Hib(Hep)","2019/20","U01092","Cissbury Integrated Care PCN",4,454,476,4,"All practices",0.953781512605042
"24 months","DTaP/IPV/Hib(Hep)","2019/20","U03364","Haywards Heath Villages PCN",4,483,493,4,"All practices",0.979716024340771
"24 months","DTaP/IPV/Hib(Hep)","2019/20","U04725","Haywards Heath Central PCN",3,377,383,3,"All practices",0.984334203655353
"24 months","DTaP/IPV/Hib(Hep)","2019/20","U04748","Angmering Coppice Fitzalan (ACF) PCN",2,273,289,2,"All practices",0.944636678200691
"24 months","DTaP/IPV/Hib(Hep)","2019/20","U06871","Burgess Hill & Villages PCN",5,519,542,5,"All practices",0.957564575645756
"24 months","DTaP/IPV/Hib(Hep)","2019/20","U08235","Regis Healthcare PCN",9,817,856,9,"All practices",0.954439252336448
"24 months","DTaP/IPV/Hib(Hep)","2019/20","U13952","Central Worthing Practices PCN",3,423,440,3,"All practices",0.961363636363637
"24 months","DTaP/IPV/Hib(Hep)","2019/20","U14816","Healthy Crawley PCN",4,510,537,4,"All practices",0.949720670391061
"24 months","DTaP/IPV/Hib(Hep)","2019/20","U21339","Arun Integrated Care (AIC) PCN",5,571,597,5,"All practices",0.95644891122278
"24 months","DTaP/IPV/Hib(Hep)","2019/20","U24558","Chichester Alliance of Medical Practices PCN",8,743,783,8,"All practices",0.948914431673053
"24 months","DTaP/IPV/Hib(Hep)","2019/20","U26939","Horsham Central PCN",4,537,553,4,"All practices",0.971066907775769
"24 months","DTaP/IPV/Hib(Hep)","2019/20","U33451","South Crawley PCN",4,519,549,4,"All practices",0.945355191256831
"24 months","DTaP/IPV/Hib(Hep)","2019/20","U33593","Rural North Chichester PCN",4,283,302,4,"All practices",0.937086092715232
"24 months","DTaP/IPV/Hib(Hep)","2019/20","U37037","Shoreham and Southwick PCN",3,364,384,3,"All practices",0.947916666666667
"24 months","DTaP/IPV/Hib(Hep)","2019/20","U49536","Coastal and South Downs PCN",3,227,235,3,"All practices",0.965957446808511
"24 months","DTaP/IPV/Hib(Hep)","2019/20","U52694","Crawley Care Collaborative PCN",4,534,559,4,"All practices",0.955277280858676
"24 months","DTaP/IPV/Hib(Hep)","2019/20","U57981","Chanctonbury PCN",4,415,433,4,"All practices",0.958429561200924
"24 months","DTaP/IPV/Hib(Hep)","2019/20","U60757","Bognor Coastal Alliance PCN",3,270,288,3,"All practices",0.9375
"24 months","DTaP/IPV/Hib(Hep)","2019/20","U80779","East Grinstead PCN",4,354,382,4,"All practices",0.926701570680628
"24 months","DTaP/IPV/Hib(Hep)","2019/20","U87478","Lancing and Sompting PCN",3,272,279,3,"All practices",0.974910394265233
"24 months","DTaP/IPV/Hib(Hep)","2019/20","U96386","Horsham Collaborative PCN",4,298,313,4,"All practices",0.952076677316294
"24 months","DTaP/IPV/Hib(Hep)","2020/21","U01092","Cissbury Integrated Care PCN",4,433,447,4,"All practices",0.968680089485458
"24 months","DTaP/IPV/Hib(Hep)","2020/21","U03364","Haywards Heath Villages PCN",4,480,492,4,"All practices",0.975609756097561
"24 months","DTaP/IPV/Hib(Hep)","2020/21","U04725","Haywards Heath Central PCN",3,347,356,3,"All practices",0.974719101123595
"24 months","DTaP/IPV/Hib(Hep)","2020/21","U04748","Angmering Coppice Fitzalan (ACF) PCN",2,267,272,2,"All practices",0.981617647058823
"24 months","DTaP/IPV/Hib(Hep)","2020/21","U06871","Burgess Hill & Villages PCN",5,537,554,5,"All practices",0.969314079422382
"24 months","DTaP/IPV/Hib(Hep)","2020/21","U08235","Regis Healthcare PCN",9,783,827,9,"All practices",0.946795646916566
"24 months","DTaP/IPV/Hib(Hep)","2020/21","U13952","Central Worthing Practices PCN",3,393,416,3,"All practices",0.944711538461539
"24 months","DTaP/IPV/Hib(Hep)","2020/21","U14816","Healthy Crawley PCN",4,479,520,4,"All practices",0.921153846153846
"24 months","DTaP/IPV/Hib(Hep)","2020/21","U21339","Arun Integrated Care (AIC) PCN",5,580,594,5,"All practices",0.976430976430977
"24 months","DTaP/IPV/Hib(Hep)","2020/21","U24558","Chichester Alliance of Medical Practices PCN",8,755,799,8,"All practices",0.944931163954944
"24 months","DTaP/IPV/Hib(Hep)","2020/21","U26939","Horsham Central PCN",4,535,542,4,"All practices",0.987084870848708
"24 months","DTaP/IPV/Hib(Hep)","2020/21","U33451","South Crawley PCN",4,533,555,4,"All practices",0.96036036036036
"24 months","DTaP/IPV/Hib(Hep)","2020/21","U33593","Rural North Chichester PCN",4,266,277,4,"All practices",0.96028880866426
"24 months","DTaP/IPV/Hib(Hep)","2020/21","U37037","Shoreham and Southwick PCN",3,367,380,3,"All practices",0.965789473684211
"24 months","DTaP/IPV/Hib(Hep)","2020/21","U49536","Coastal and South Downs PCN",2,247,259,3,"This PCN does not include all practices",
"24 months","DTaP/IPV/Hib(Hep)","2020/21","U52694","Crawley Care Collaborative PCN",4,557,586,4,"All practices",0.950511945392492
"24 months","DTaP/IPV/Hib(Hep)","2020/21","U57981","Chanctonbury PCN",4,406,426,4,"All practices",0.953051643192488
"24 months","DTaP/IPV/Hib(Hep)","2020/21","U60757","Bognor Coastal Alliance PCN",3,273,290,3,"All practices",0.941379310344827
"24 months","DTaP/IPV/Hib(Hep)","2020/21","U80779","East Grinstead PCN",4,386,402,4,"All practices",0.960199004975124
"24 months","DTaP/IPV/Hib(Hep)","2020/21","U87478","Lancing and Sompting PCN",3,288,294,3,"All practices",0.979591836734694
"24 months","DTaP/IPV/Hib(Hep)","2020/21","U96386","Horsham Collaborative PCN",4,350,357,4,"All practices",0.980392156862745
"24 months","DTaP/IPV/Hib(Hep)","2021/22","U01092","Cissbury Integrated Care PCN",4,423,438,4,"All practices",0.965753424657534
"24 months","DTaP/IPV/Hib(Hep)","2021/22","U03364","Haywards Heath Villages PCN",4,459,472,4,"All practices",0.972457627118644
"24 months","DTaP/IPV/Hib(Hep)","2021/22","U04725","Haywards Heath Central PCN",3,345,355,3,"All practices",0.971830985915493
"24 months","DTaP/IPV/Hib(Hep)","2021/22","U04748","Angmering Coppice Fitzalan (ACF) PCN",2,260,276,2,"All practices",0.942028985507246
"24 months","DTaP/IPV/Hib(Hep)","2021/22","U06871","Burgess Hill & Villages PCN",4,488,507,5,"This PCN does not include all practices",
"24 months","DTaP/IPV/Hib(Hep)","2021/22","U08235","Regis Healthcare PCN",9,739,786,9,"All practices",0.940203562340967
"24 months","DTaP/IPV/Hib(Hep)","2021/22","U13952","Central Worthing Practices PCN",3,408,423,3,"All practices",0.964539007092199
"24 months","DTaP/IPV/Hib(Hep)","2021/22","U14816","Healthy Crawley PCN",4,538,598,4,"All practices",0.899665551839465
"24 months","DTaP/IPV/Hib(Hep)","2021/22","U21339","Arun Integrated Care (AIC) PCN",5,536,558,5,"All practices",0.960573476702509
"24 months","DTaP/IPV/Hib(Hep)","2021/22","U24558","Chichester Alliance of Medical Practices PCN",8,725,762,8,"All practices",0.951443569553806
"24 months","DTaP/IPV/Hib(Hep)","2021/22","U26939","Horsham Central PCN",4,481,496,4,"All practices",0.969758064516129
"24 months","DTaP/IPV/Hib(Hep)","2021/22","U33451","South Crawley PCN",4,535,568,4,"All practices",0.941901408450704
"24 months","DTaP/IPV/Hib(Hep)","2021/22","U33593","Rural North Chichester PCN",4,308,325,4,"All practices",0.947692307692308
"24 months","DTaP/IPV/Hib(Hep)","2021/22","U37037","Shoreham and Southwick PCN",3,333,352,3,"All practices",0.946022727272727
"24 months","DTaP/IPV/Hib(Hep)","2021/22","U49536","Coastal and South Downs PCN",2,240,248,3,"This PCN does not include all practices",
"24 months","DTaP/IPV/Hib(Hep)","2021/22","U52694","Crawley Care Collaborative PCN",4,534,575,4,"All practices",0.928695652173913
"24 months","DTaP/IPV/Hib(Hep)","2021/22","U57981","Chanctonbury PCN",4,407,420,4,"All practices",0.969047619047619
"24 months","DTaP/IPV/Hib(Hep)","2021/22","U60757","Bognor Coastal Alliance PCN",3,248,258,3,"All practices",0.96124031007752
"24 months","DTaP/IPV/Hib(Hep)","2021/22","U80779","East Grinstead PCN",2,392,411,4,"This PCN does not include all practices",
"24 months","DTaP/IPV/Hib(Hep)","2021/22","U87478","Lancing and Sompting PCN",3,247,252,3,"All practices",0.98015873015873
"24 months","DTaP/IPV/Hib(Hep)","2021/22","U96386","Horsham Collaborative PCN",4,357,370,4,"All practices",0.964864864864865
"24 months","Hib/MenC","2019/20","U01092","Cissbury Integrated Care PCN",4,443,476,4,"All practices",0.930672268907563
"24 months","Hib/MenC","2019/20","U03364","Haywards Heath Villages PCN",4,479,493,4,"All practices",0.971602434077079
"24 months","Hib/MenC","2019/20","U04725","Haywards Heath Central PCN",3,374,383,3,"All practices",0.976501305483029
"24 months","Hib/MenC","2019/20","U04748","Angmering Coppice Fitzalan (ACF) PCN",2,271,289,2,"All practices",0.937716262975778
"24 months","Hib/MenC","2019/20","U06871","Burgess Hill & Villages PCN",5,517,542,5,"All practices",0.953874538745388
"24 months","Hib/MenC","2019/20","U08235","Regis Healthcare PCN",9,800,856,9,"All practices",0.934579439252337
"24 months","Hib/MenC","2019/20","U13952","Central Worthing Practices PCN",3,427,440,3,"All practices",0.970454545454545
"24 months","Hib/MenC","2019/20","U14816","Healthy Crawley PCN",4,510,537,4,"All practices",0.949720670391061
"24 months","Hib/MenC","2019/20","U21339","Arun Integrated Care (AIC) PCN",5,567,597,5,"All practices",0.949748743718593
"24 months","Hib/MenC","2019/20","U24558","Chichester Alliance of Medical Practices PCN",8,749,783,8,"All practices",0.956577266922095
"24 months","Hib/MenC","2019/20","U26939","Horsham Central PCN",4,530,553,4,"All practices",0.958408679927667
"24 months","Hib/MenC","2019/20","U33451","South Crawley PCN",4,504,549,4,"All practices",0.918032786885246
"24 months","Hib/MenC","2019/20","U33593","Rural North Chichester PCN",4,282,302,4,"All practices",0.933774834437086
"24 months","Hib/MenC","2019/20","U37037","Shoreham and Southwick PCN",3,363,384,3,"All practices",0.9453125
"24 months","Hib/MenC","2019/20","U49536","Coastal and South Downs PCN",3,226,235,3,"All practices",0.961702127659575
"24 months","Hib/MenC","2019/20","U52694","Crawley Care Collaborative PCN",4,531,559,4,"All practices",0.949910554561717
"24 months","Hib/MenC","2019/20","U57981","Chanctonbury PCN",4,413,433,4,"All practices",0.953810623556582
"24 months","Hib/MenC","2019/20","U60757","Bognor Coastal Alliance PCN",3,268,288,3,"All practices",0.930555555555556
"24 months","Hib/MenC","2019/20","U80779","East Grinstead PCN",4,356,382,4,"All practices",0.931937172774869
"24 months","Hib/MenC","2019/20","U87478","Lancing and Sompting PCN",3,273,279,3,"All practices",0.978494623655914
"24 months","Hib/MenC","2019/20","U96386","Horsham Collaborative PCN",4,294,313,4,"All practices",0.939297124600639
"24 months","Hib/MenC","2020/21","U01092","Cissbury Integrated Care PCN",4,430,447,4,"All practices",0.961968680089485
"24 months","Hib/MenC","2020/21","U03364","Haywards Heath Villages PCN",4,475,492,4,"All practices",0.965447154471545
"24 months","Hib/MenC","2020/21","U04725","Haywards Heath Central PCN",3,346,356,3,"All practices",0.971910112359551
"24 months","Hib/MenC","2020/21","U04748","Angmering Coppice Fitzalan (ACF) PCN",2,258,272,2,"All practices",0.948529411764706
"24 months","Hib/MenC","2020/21","U06871","Burgess Hill & Villages PCN",5,533,554,5,"All practices",0.962093862815884
"24 months","Hib/MenC","2020/21","U08235","Regis Healthcare PCN",9,766,827,9,"All practices",0.926239419588875
"24 months","Hib/MenC","2020/21","U13952","Central Worthing Practices PCN",3,383,416,3,"All practices",0.920673076923077
"24 months","Hib/MenC","2020/21","U14816","Healthy Crawley PCN",4,479,520,4,"All practices",0.921153846153846
"24 months","Hib/MenC","2020/21","U21339","Arun Integrated Care (AIC) PCN",5,568,594,5,"All practices",0.956228956228956
"24 months","Hib/MenC","2020/21","U24558","Chichester Alliance of Medical Practices PCN",8,744,799,8,"All practices",0.93116395494368
"24 months","Hib/MenC","2020/21","U26939","Horsham Central PCN",4,534,542,4,"All practices",0.985239852398524
"24 months","Hib/MenC","2020/21","U33451","South Crawley PCN",4,525,555,4,"All practices",0.945945945945946
"24 months","Hib/MenC","2020/21","U33593","Rural North Chichester PCN",4,261,277,4,"All practices",0.942238267148014
"24 months","Hib/MenC","2020/21","U37037","Shoreham and Southwick PCN",3,359,380,3,"All practices",0.944736842105263
"24 months","Hib/MenC","2020/21","U49536","Coastal and South Downs PCN",2,239,259,3,"This PCN does not include all practices",
"24 months","Hib/MenC","2020/21","U52694","Crawley Care Collaborative PCN",4,560,586,4,"All practices",0.955631399317406
"24 months","Hib/MenC","2020/21","U57981","Chanctonbury PCN",4,396,426,4,"All practices",0.929577464788732
"24 months","Hib/MenC","2020/21","U60757","Bognor Coastal Alliance PCN",3,271,290,3,"All practices",0.93448275862069
"24 months","Hib/MenC","2020/21","U80779","East Grinstead PCN",4,382,402,4,"All practices",0.950248756218906
"24 months","Hib/MenC","2020/21","U87478","Lancing and Sompting PCN",3,287,294,3,"All practices",0.976190476190476
"24 months","Hib/MenC","2020/21","U96386","Horsham Collaborative PCN",4,342,357,4,"All practices",0.957983193277311
"24 months","Hib/MenC","2021/22","U01092","Cissbury Integrated Care PCN",4,413,438,4,"All practices",0.942922374429224
"24 months","Hib/MenC","2021/22","U03364","Haywards Heath Villages PCN",4,455,472,4,"All practices",0.963983050847458
"24 months","Hib/MenC","2021/22","U04725","Haywards Heath Central PCN",3,341,355,3,"All practices",0.96056338028169
"24 months","Hib/MenC","2021/22","U04748","Angmering Coppice Fitzalan (ACF) PCN",2,259,276,2,"All practices",0.938405797101449
"24 months","Hib/MenC","2021/22","U06871","Burgess Hill & Villages PCN",4,486,507,5,"This PCN does not include all practices",
"24 months","Hib/MenC","2021/22","U08235","Regis Healthcare PCN",9,722,786,9,"All practices",0.918575063613232
"24 months","Hib/MenC","2021/22","U13952","Central Worthing Practices PCN",3,396,423,3,"All practices",0.936170212765957
"24 months","Hib/MenC","2021/22","U14816","Healthy Crawley PCN",4,507,598,4,"All practices",0.847826086956522
"24 months","Hib/MenC","2021/22","U21339","Arun Integrated Care (AIC) PCN",5,529,558,5,"All practices",0.948028673835125
"24 months","Hib/MenC","2021/22","U24558","Chichester Alliance of Medical Practices PCN",8,711,762,8,"All practices",0.933070866141732
"24 months","Hib/MenC","2021/22","U26939","Horsham Central PCN",4,482,496,4,"All practices",0.971774193548387
"24 months","Hib/MenC","2021/22","U33451","South Crawley PCN",4,507,568,4,"All practices",0.892605633802817
"24 months","Hib/MenC","2021/22","U33593","Rural North Chichester PCN",4,307,325,4,"All practices",0.944615384615384
"24 months","Hib/MenC","2021/22","U37037","Shoreham and Southwick PCN",3,325,352,3,"All practices",0.923295454545455
"24 months","Hib/MenC","2021/22","U49536","Coastal and South Downs PCN",2,237,248,3,"This PCN does not include all practices",
"24 months","Hib/MenC","2021/22","U52694","Crawley Care Collaborative PCN",4,522,575,4,"All practices",0.907826086956522
"24 months","Hib/MenC","2021/22","U57981","Chanctonbury PCN",4,400,420,4,"All practices",0.952380952380952
"24 months","Hib/MenC","2021/22","U60757","Bognor Coastal Alliance PCN",3,240,258,3,"All practices",0.930232558139535
"24 months","Hib/MenC","2021/22","U80779","East Grinstead PCN",2,380,411,4,"This PCN does not include all practices",
"24 months","Hib/MenC","2021/22","U87478","Lancing and Sompting PCN",3,245,252,3,"All practices",0.972222222222222
"24 months","Hib/MenC","2021/22","U96386","Horsham Collaborative PCN",4,353,370,4,"All practices",0.954054054054054
"24 months","MMR1","2019/20","U01092","Cissbury Integrated Care PCN",4,442,476,4,"All practices",0.928571428571429
"24 months","MMR1","2019/20","U03364","Haywards Heath Villages PCN",4,478,493,4,"All practices",0.969574036511156
"24 months","MMR1","2019/20","U04725","Haywards Heath Central PCN",3,375,383,3,"All practices",0.97911227154047
"24 months","MMR1","2019/20","U04748","Angmering Coppice Fitzalan (ACF) PCN",2,271,289,2,"All practices",0.937716262975778
"24 months","MMR1","2019/20","U06871","Burgess Hill & Villages PCN",5,519,542,5,"All practices",0.957564575645757
"24 months","MMR1","2019/20","U08235","Regis Healthcare PCN",9,799,856,9,"All practices",0.933411214953271
"24 months","MMR1","2019/20","U13952","Central Worthing Practices PCN",3,426,440,3,"All practices",0.968181818181818
"24 months","MMR1","2019/20","U14816","Healthy Crawley PCN",4,506,537,4,"All practices",0.942271880819367
"24 months","MMR1","2019/20","U21339","Arun Integrated Care (AIC) PCN",5,565,597,5,"All practices",0.946398659966499
"24 months","MMR1","2019/20","U24558","Chichester Alliance of Medical Practices PCN",8,745,783,8,"All practices",0.9514687100894
"24 months","MMR1","2019/20","U26939","Horsham Central PCN",4,537,553,4,"All practices",0.971066907775769
"24 months","MMR1","2019/20","U33451","South Crawley PCN",4,504,549,4,"All practices",0.918032786885246
"24 months","MMR1","2019/20","U33593","Rural North Chichester PCN",4,278,302,4,"All practices",0.920529801324503
"24 months","MMR1","2019/20","U37037","Shoreham and Southwick PCN",3,363,384,3,"All practices",0.9453125
"24 months","MMR1","2019/20","U49536","Coastal and South Downs PCN",3,227,235,3,"All practices",0.965957446808511
"24 months","MMR1","2019/20","U52694","Crawley Care Collaborative PCN",4,532,559,4,"All practices",0.95169946332737
"24 months","MMR1","2019/20","U57981","Chanctonbury PCN",4,405,433,4,"All practices",0.935334872979215
"24 months","MMR1","2019/20","U60757","Bognor Coastal Alliance PCN",3,267,288,3,"All practices",0.927083333333333
"24 months","MMR1","2019/20","U80779","East Grinstead PCN",4,359,382,4,"All practices",0.93979057591623
"24 months","MMR1","2019/20","U87478","Lancing and Sompting PCN",3,272,279,3,"All practices",0.974910394265233
"24 months","MMR1","2019/20","U96386","Horsham Collaborative PCN",4,292,313,4,"All practices",0.932907348242811
"24 months","MMR1","2020/21","U01092","Cissbury Integrated Care PCN",4,429,447,4,"All practices",0.959731543624161
"24 months","MMR1","2020/21","U03364","Haywards Heath Villages PCN",4,473,492,4,"All practices",0.961382113821138
"24 months","MMR1","2020/21","U04725","Haywards Heath Central PCN",3,346,356,3,"All practices",0.971910112359551
"24 months","MMR1","2020/21","U04748","Angmering Coppice Fitzalan (ACF) PCN",2,259,272,2,"All practices",0.952205882352941
"24 months","MMR1","2020/21","U06871","Burgess Hill & Villages PCN",5,529,554,5,"All practices",0.954873646209386
"24 months","MMR1","2020/21","U08235","Regis Healthcare PCN",9,763,827,9,"All practices",0.92261185006046
"24 months","MMR1","2020/21","U13952","Central Worthing Practices PCN",3,382,416,3,"All practices",0.918269230769231
"24 months","MMR1","2020/21","U14816","Healthy Crawley PCN",4,475,520,4,"All practices",0.913461538461539
"24 months","MMR1","2020/21","U21339","Arun Integrated Care (AIC) PCN",5,568,594,5,"All practices",0.956228956228956
"24 months","MMR1","2020/21","U24558","Chichester Alliance of Medical Practices PCN",8,749,799,8,"All practices",0.937421777221527
"24 months","MMR1","2020/21","U26939","Horsham Central PCN",4,533,542,4,"All practices",0.983394833948339
"24 months","MMR1","2020/21","U33451","South Crawley PCN",4,525,555,4,"All practices",0.945945945945946
"24 months","MMR1","2020/21","U33593","Rural North Chichester PCN",4,261,277,4,"All practices",0.942238267148015
"24 months","MMR1","2020/21","U37037","Shoreham and Southwick PCN",3,359,380,3,"All practices",0.944736842105263
"24 months","MMR1","2020/21","U49536","Coastal and South Downs PCN",2,242,259,3,"This PCN does not include all practices",
"24 months","MMR1","2020/21","U52694","Crawley Care Collaborative PCN",4,555,586,4,"All practices",0.947098976109215
"24 months","MMR1","2020/21","U57981","Chanctonbury PCN",4,397,426,4,"All practices",0.931924882629108
"24 months","MMR1","2020/21","U60757","Bognor Coastal Alliance PCN",3,268,290,3,"All practices",0.924137931034483
"24 months","MMR1","2020/21","U80779","East Grinstead PCN",4,383,402,4,"All practices",0.95273631840796
"24 months","MMR1","2020/21","U87478","Lancing and Sompting PCN",3,288,294,3,"All practices",0.979591836734694
"24 months","MMR1","2020/21","U96386","Horsham Collaborative PCN",4,345,357,4,"All practices",0.966386554621849
"24 months","MMR1","2021/22","U01092","Cissbury Integrated Care PCN",4,412,438,4,"All practices",0.940639269406393
"24 months","MMR1","2021/22","U03364","Haywards Heath Villages PCN",4,455,472,4,"All practices",0.963983050847458
"24 months","MMR1","2021/22","U04725","Haywards Heath Central PCN",3,346,355,3,"All practices",0.974647887323944
"24 months","MMR1","2021/22","U04748","Angmering Coppice Fitzalan (ACF) PCN",2,259,276,2,"All practices",0.938405797101449
"24 months","MMR1","2021/22","U06871","Burgess Hill & Villages PCN",4,485,507,5,"This PCN does not include all practices",
"24 months","MMR1","2021/22","U08235","Regis Healthcare PCN",9,718,786,9,"All practices",0.913486005089059
"24 months","MMR1","2021/22","U13952","Central Worthing Practices PCN",3,395,423,3,"All practices",0.933806146572104
"24 months","MMR1","2021/22","U14816","Healthy Crawley PCN",4,515,598,4,"All practices",0.861204013377926
"24 months","MMR1","2021/22","U21339","Arun Integrated Care (AIC) PCN",5,530,558,5,"All practices",0.949820788530466
"24 months","MMR1","2021/22","U24558","Chichester Alliance of Medical Practices PCN",8,713,762,8,"All practices",0.935695538057743
"24 months","MMR1","2021/22","U26939","Horsham Central PCN",4,483,496,4,"All practices",0.973790322580645
"24 months","MMR1","2021/22","U33451","South Crawley PCN",4,506,568,4,"All practices",0.890845070422535
"24 months","MMR1","2021/22","U33593","Rural North Chichester PCN",4,307,325,4,"All practices",0.944615384615384
"24 months","MMR1","2021/22","U37037","Shoreham and Southwick PCN",3,325,352,3,"All practices",0.923295454545455
"24 months","MMR1","2021/22","U49536","Coastal and South Downs PCN",2,235,248,3,"This PCN does not include all practices",
"24 months","MMR1","2021/22","U52694","Crawley Care Collaborative PCN",4,523,575,4,"All practices",0.909565217391304
"24 months","MMR1","2021/22","U57981","Chanctonbury PCN",4,400,420,4,"All practices",0.952380952380952
"24 months","MMR1","2021/22","U60757","Bognor Coastal Alliance PCN",3,241,258,3,"All practices",0.934108527131783
"24 months","MMR1","2021/22","U80779","East Grinstead PCN",2,378,411,4,"This PCN does not include all practices",
"24 months","MMR1","2021/22","U87478","Lancing and Sompting PCN",3,245,252,3,"All practices",0.972222222222222
"24 months","MMR1","2021/22","U96386","Horsham Collaborative PCN",4,354,370,4,"All practices",0.956756756756757
"24 months","MenB Booster","2019/20","U01092","Cissbury Integrated Care PCN",4,442,476,4,"All practices",0.928571428571429
"24 months","MenB Booster","2019/20","U03364","Haywards Heath Villages PCN",4,474,493,4,"All practices",0.961460446247465
"24 months","MenB Booster","2019/20","U04725","Haywards Heath Central PCN",3,374,383,3,"All practices",0.976501305483029
"24 months","MenB Booster","2019/20","U04748","Angmering Coppice Fitzalan (ACF) PCN",2,267,289,2,"All practices",0.923875432525952
"24 months","MenB Booster","2019/20","U06871","Burgess Hill & Villages PCN",5,515,542,5,"All practices",0.950184501845019
"24 months","MenB Booster","2019/20","U08235","Regis Healthcare PCN",9,790,856,9,"All practices",0.922897196261682
"24 months","MenB Booster","2019/20","U13952","Central Worthing Practices PCN",3,414,440,3,"All practices",0.940909090909091
"24 months","MenB Booster","2019/20","U14816","Healthy Crawley PCN",4,497,537,4,"All practices",0.925512104283054
"24 months","MenB Booster","2019/20","U21339","Arun Integrated Care (AIC) PCN",5,560,597,5,"All practices",0.938023450586265
"24 months","MenB Booster","2019/20","U24558","Chichester Alliance of Medical Practices PCN",8,726,783,8,"All practices",0.9272030651341
"24 months","MenB Booster","2019/20","U26939","Horsham Central PCN",4,522,553,4,"All practices",0.943942133815552
"24 months","MenB Booster","2019/20","U33451","South Crawley PCN",4,495,549,4,"All practices",0.901639344262295
"24 months","MenB Booster","2019/20","U33593","Rural North Chichester PCN",4,274,302,4,"All practices",0.90728476821192
"24 months","MenB Booster","2019/20","U37037","Shoreham and Southwick PCN",3,355,384,3,"All practices",0.924479166666667
"24 months","MenB Booster","2019/20","U49536","Coastal and South Downs PCN",3,227,235,3,"All practices",0.965957446808511
"24 months","MenB Booster","2019/20","U52694","Crawley Care Collaborative PCN",4,525,559,4,"All practices",0.9391771019678
"24 months","MenB Booster","2019/20","U57981","Chanctonbury PCN",4,407,433,4,"All practices",0.939953810623557
"24 months","MenB Booster","2019/20","U60757","Bognor Coastal Alliance PCN",3,263,288,3,"All practices",0.913194444444444
"24 months","MenB Booster","2019/20","U80779","East Grinstead PCN",4,352,382,4,"All practices",0.921465968586387
"24 months","MenB Booster","2019/20","U87478","Lancing and Sompting PCN",3,272,279,3,"All practices",0.974910394265233
"24 months","MenB Booster","2019/20","U96386","Horsham Collaborative PCN",4,289,313,4,"All practices",0.92332268370607
"24 months","MenB Booster","2020/21","U01092","Cissbury Integrated Care PCN",4,426,447,4,"All practices",0.953020134228188
"24 months","MenB Booster","2020/21","U03364","Haywards Heath Villages PCN",4,474,492,4,"All practices",0.963414634146341
"24 months","MenB Booster","2020/21","U04725","Haywards Heath Central PCN",3,344,356,3,"All practices",0.966292134831461
"24 months","MenB Booster","2020/21","U04748","Angmering Coppice Fitzalan (ACF) PCN",2,258,272,2,"All practices",0.948529411764706
"24 months","MenB Booster","2020/21","U06871","Burgess Hill & Villages PCN",5,529,554,5,"All practices",0.954873646209386
"24 months","MenB Booster","2020/21","U08235","Regis Healthcare PCN",9,759,827,9,"All practices",0.917775090689238
"24 months","MenB Booster","2020/21","U13952","Central Worthing Practices PCN",3,383,416,3,"All practices",0.920673076923077
